Machine,Part Name,Description,STOCK,LOCATION
printer lid,timing belt,"timing belt, l430,w15,5m",,
printer aoi,timing belt,"timing belt, l265,w15,5m",8.0,R-13/D
printer,vaccum pad,"3m, as per drawing, for printer picker",,RACK-03/C
printer,quick release coupling,quick release ss coupling 1/2 '' both end female thread 1/2'',8.0,R-27/C
printer,vfd,vfd-delta-vfd2a8ms21ansaa,2.0,R-27/B
printer,timing belt,timing belt-std-3320-5m-15,7.0,R-27/D
printer,tonge assembly,tonge assembly for printer loader,1.0,AL-22
printer line,timing belt,"std 500-s5m,10",15.0,R-13/D
printer,timing belt,"s5m-15paz,length : 3320 mm",,
printer,timing belt,"schy htbn 976,s8m-250-nfb-nft",7.0,R-27/D
printer,timing belt,"schy t10,30 w-10250l+wfb+nft+3pu",,
printer,timing belt,"std 235-s5m, width 10 mm",18.0,R-13/D
printer,timing belt,"s5m-15paz,length : 3320 mm",,
printer sorter,timing belt,"360-s5m, width 15 mm",14.0,R-13/D
printer,timing belt,"std 500-5m,width 10 mm",15.0,R-13/C
printer (zebra),timing belt,"timing belt,s2m-280,width 6.5 mm",12.0,R-13/D
printer,drive,servo drive-hiwin d1-36-e3-2-0-00,1.0,R-27/A
printer,condenser,combustion tower condenser-sf01-pf-013-v5-300300400082c,,
printer,sensor,suction cup-smc-zp3-06umf,100.0,AL-22
printer,"thermocouple rod 6.4*220-v1,1050℃,",sf01-dq-056-v1,,
printer,"thermocouple rod 6.4*180-v1,1050℃",sf01-dq-057-v1,,
printer,tester probe holder,tester probe holder as per sample,21.0,AL-22
printer,tester bus bar,"tester bus bar , ta03la-pt-62-v5",,
printer,temp controller,"make : selec, model : tc544",2.0,AL-22
printer,teflon bar,"teflon bar, l : 4800, w: 20, h: 10 mm",,
printer,tdk unit,"make : tdk-labmda, model :  pv-nt-gen-30-25/ln",1.0,
printer,synchronous belt,htbn310s5m-100,,
printer,stepper motor,to57-22,1.0,R-27/A
printer,stepper motor,to42-08s,3.0,R-27/A
printer,stepper driver,ntm57-ec,1.0,R-27/A
printer,stepper driver,ntm42-ec,1.0,R-27/A
printer,step driver,ssdc06-ec,4.0,R-27/A
printer,step driver,stf05-ec,5.0,R-27/A
printer,static charge meter,static charge meter (digital) z205,,
printer,local fab,ss shaft-905 transport,4.0,AL-22
printer,solid state relay,"rm1e48aa100+rhs45bi-1,30a",,
printer,solenoid valve,4gd210r-c6-e0-3,3.0,R-27/B
printer,solenoid valve,vqz3120-5l1-c6,2.0,R-27/B
printer,solenoid valve,vqz312-5l1-c8,3.0,R-27/B
printer,solenoid valve,vqz1121-5l1-c6,1.0,R-27/B
printer,solenoid valve,"make : smc, model : vt307-5dz1-01",4.0,R-27/B
printer,slectror switch,"make : teknic, spring retrun",,
printer,silicon heat pad,"blue drop silicon heat pad,size : l1000 *w600*t5 mm(1215*1000*6mm)",,
printer,shaft,"printer shaft size length-292*dia 15 mm,as per drwaing,moc ss",,R-03/B
printer,cable,igus chainflex cf211.05.02.02 (4*0.50 c),,
printer,bearing,bearing 6201 zz/c3,2.0,R-27/B
printer,servo motor 750w,inovance-ms1h4-75b30cb-a331z-inovance,4.0,R-27/A
printer,servo motor 400w( with brake),ms1h4-40b30cb-a334z-inovance,1.0,R-27/A
printer,servo motor 400w,ms1h4-40b30cb-a331z-inovance,3.0,R-27/A
printer,servo motor 200w,ms1h1-20b30cb-a331z-inovance,3.0,R-27/A
printer,servo motor,r88m-1m10030h-bs2-omron,1.0,R-27/A
printer,servo driver 750w,is620ns5r5i-inovance,4.0,R-27/A
printer,servo driver,is620ns2r8i-inovance,2.0,R-27/A
printer,servo driver,is620ns1r6i-inovance,3.0,R-27/A
printer,servo driver,r88d-1sn01h-ect-omron,2.0,R-27/A
printer,servo driver,r88d-1sn08h-ect-omron,2.0,R-27/A
printer,servo driver,r88d-kn04h-ect-z-omron,1.0,R-27/A
printer,vfd,feilande sf2200/60w,2.0,AL-22
printer,thin roller,belt thin roller with bearing (peek),,
printer,sensors,"biduk-m18,c1pf-m1808n-03u3/55mm,capacitive sensor,npn-no",8.0,R-27/A
printer line,sensor- e3x-hd11 2 m,"omron,e3x-hd11 2 m",6.0,
printer,sensor,wt100-2n1419,2.0,
printer,servo drive,hiwin d136e3-2-0-00,1.0,
printer,servo drive,"omron, r88-1sn04h-ect,400 w",1.0,R-27/A
printer,servo drive,nikki denso ncr-ha2801a-a000,1.0,R-27/A
printer,servo drive,akribis asd 480-2472e2j1,2.0,R-27/A
printer,servo drive,akribis asd 240-0618e2j1,1.0,R-27/A
printer,servo drive,akribis asd 240-2048e2j1,1.0,R-16/B
printer,ir led light,ir fluser model bl192-28h27-ir,4.0,AL-22
printer,reflector tape,3m sensor reflector tape,1.0,AL-118
